Shop,City,Street,Item,DateTime,Price
Playtech,London,George's,"Tendrils - Baby Pea, Organic",2020-04-06T17:18:00Z,"€28,85"
Lidl,London,Freedom,Water - Perrier,2020-04-23T19:58:44Z,"€51,75"
Aibe,New York,Freedom,Star Fruit,2020-04-10T00:54:28Z,"€92,52"
Lidl,New York,George's,Devonshire Cream,2020-04-01T16:21:42Z,"€19,89"
Wallmart,New York,Laisves,Lettuce - Treviso,2020-04-08T15:37:06Z,"€80,80"
Wallmart,London,Laisves,Sauce - Caesar Dressing,2020-04-11T19:25:29Z,"€64,22"
Wallmart,New York,Freedom,Beer - Original Organic Lager,2020-04-17T23:33:09Z,"€85,42"
Ebay,London,George's,Carrots - Jumbo,2020-04-27T16:35:59Z,"€45,79"
Lidl,Brussels,Freedom,Bread Country Roll,2020-04-03T03:41:44Z,"€24,60"
Aibe,New York,Laisves,Smoked Tongue,2020-04-28T02:10:22Z,"€46,04"
Ebay,New York,Laisves,Kiwi,2020-04-08T07:10:26Z,"€8,71"
Ebay,Brussels,Freedom,Cookie - Dough Variety,2020-04-12T05:32:37Z,"€78,85"
Ebay,London,Laisves,Ham - Cooked,2020-04-04T02:33:47Z,"€24,28"
Playtech,Brussels,Freedom,Silicone Parch. 16.3x24.3,2020-04-12T09:16:15Z,"€5,85"
Playtech,London,Freedom,Soup Campbells Beef With Veg,2020-04-08T20:50:33Z,"€92,19"
Ebay,New York,George's,Soup - Cream Of Potato / Leek,2020-04-06T22:35:18Z,"€78,04"
Ebay,New York,Laisves,"Artichoke - Hearts, Canned",2020-04-21T01:24:55Z,"€86,72"
Ebay,London,Freedom,Chips - Assorted,2020-04-14T10:30:22Z,"€17,61"
Kwiki Mart,Brussels,Laisves,"Pork - Butt, Boneless",2020-04-02T20:22:36Z,"€98,57"
Kwiki Mart,Brussels,Laisves,"Juice - Apple, 1.36l",2020-04-23T00:20:12Z,"€81,88"
Playtech,New York,George's,"Soup - Knorr, Chicken Noodle",2020-04-22T03:01:10Z,"€73,04"
Wallmart,Brussels,Laisves,Bonito Flakes - Toku Katsuo,2020-04-04T02:00:32Z,"€36,06"
Playtech,London,George's,Extract - Almond,2020-04-17T08:02:56Z,"€21,74"
Wallmart,London,Laisves,"Cup - 3.5oz, Foam",2020-04-04T11:34:16Z,"€81,13"
Wallmart,London,Laisves,Berry Brulee,2020-04-16T07:25:16Z,"€82,65"
Playtech,New York,Freedom,Teriyaki Sauce,2020-04-25T00:31:06Z,"€46,14"
Aibe,Brussels,Laisves,Calypso - Strawberry Lemonade,2020-04-13T08:19:28Z,"€96,00"
Aibe,Brussels,Laisves,"Wine - White, Colubia Cresh",2020-04-19T15:01:38Z,"€38,49"
Lidl,Brussels,George's,Lettuce - Escarole,2020-04-04T12:28:07Z,"€98,65"
Wallmart,Brussels,Laisves,Yams,2020-04-24T05:01:53Z,"€60,58"
Wallmart,Brussels,Laisves,Sugar - Splenda Sweetener,2020-04-07T15:30:15Z,"€50,61"
Lidl,Brussels,Freedom,Garlic Powder,2020-04-03T23:28:55Z,"€85,46"
Aibe,London,Freedom,Relish,2020-04-12T08:22:04Z,"€54,70"
Wallmart,New York,George's,Cheese Cloth No 60,2020-04-25T05:28:04Z,"€22,31"
Aibe,Brussels,George's,Muffin - Mix - Strawberry Rhubarb,2020-04-01T22:31:56Z,"€90,54"
Ebay,New York,Freedom,Veal - Liver,2020-04-07T00:20:32Z,"€36,90"
Playtech,London,George's,Vinegar - Balsamic,2020-04-06T20:22:29Z,"€92,13"
Ebay,New York,Laisves,"Brownies - Two Bite, Chocolate",2020-04-08T00:42:25Z,"€24,27"
Lidl,New York,Laisves,Bread - Kimel Stick Poly,2020-04-09T20:38:42Z,"€73,87"
Lidl,London,George's,Vinegar - Champagne,2020-04-03T14:15:28Z,"€37,54"
Kwiki Mart,New York,George's,"Turkey - Breast, Bone - In",2020-04-25T17:27:42Z,"€65,92"
Kwiki Mart,Brussels,George's,Bread - Olive,2020-04-06T11:08:07Z,"€46,63"
Kwiki Mart,New York,Laisves,Yoghurt Tubes,2020-04-05T03:57:13Z,"€78,61"
Lidl,London,Laisves,Wine - Shiraz Wolf Blass Premium,2020-04-02T07:13:09Z,"€64,47"
Kwiki Mart,London,Laisves,Bagelers,2020-04-29T12:05:33Z,"€90,17"
Playtech,London,Freedom,Southern Comfort,2020-04-01T09:56:23Z,"€25,13"
Wallmart,Brussels,George's,"Rice Pilaf, Dry,package",2020-04-22T02:23:45Z,"€97,68"
Ebay,London,George's,"Lettuce - Romaine, Heart",2020-04-19T03:32:11Z,"€29,41"
Lidl,Brussels,Laisves,Lettuce - Belgian Endive,2020-04-23T14:50:05Z,"€55,81"
Lidl,New York,Laisves,Beer - Maudite,2020-04-15T00:25:30Z,"€33,12"
Aibe,New York,Freedom,"Beets - Candy Cane, Organic",2020-04-18T12:59:28Z,"€41,65"
Wallmart,New York,Laisves,Seedlings - Clamshell,2020-04-10T21:44:57Z,"€65,49"
Playtech,New York,Laisves,Pastry - Apple Muffins - Mini,2020-04-10T18:31:00Z,"€81,94"
Kwiki Mart,London,George's,"Beef - Outside, Round",2020-04-02T06:37:47Z,"€2,43"
Aibe,London,George's,Beef - Texas Style Burger,2020-04-07T15:40:28Z,"€82,84"
Lidl,New York,George's,Wine - Prem Select Charddonany,2020-04-25T23:18:03Z,"€13,75"
Playtech,New York,Laisves,Sauce - Chili,2020-04-13T20:26:21Z,"€83,55"
Playtech,Brussels,Laisves,Mcgillicuddy Vanilla Schnap,2020-04-15T01:06:07Z,"€51,08"
Aibe,London,Laisves,Oil - Cooking Spray,2020-04-06T06:44:54Z,"€3,38"
Lidl,London,George's,Fond - Chocolate,2020-04-04T13:19:30Z,"€85,59"
Kwiki Mart,Brussels,Laisves,Urban Zen Drinks,2020-04-08T20:21:41Z,"€58,64"
Ebay,London,Laisves,Pie Filling - Pumpkin,2020-04-21T06:02:33Z,"€31,94"
Lidl,New York,Freedom,Sword Pick Asst,2020-04-15T15:00:54Z,"€25,22"
Ebay,New York,Laisves,Wine - Savigny - Les - Beaune,2020-04-29T16:04:17Z,"€80,25"
Kwiki Mart,New York,George's,Shrimp - Prawn,2020-04-09T10:28:46Z,"€97,09"
Lidl,Brussels,Laisves,V8 - Vegetable Cocktail,2020-04-11T13:45:26Z,"€63,96"
Aibe,Brussels,Freedom,Cranberries - Frozen,2020-04-18T12:33:39Z,"€33,27"
Wallmart,New York,Laisves,"Wine - White, Gewurtzraminer",2020-04-05T03:08:12Z,"€89,33"
Playtech,Brussels,Laisves,Venison - Liver,2020-04-10T00:02:52Z,"€75,75"
Kwiki Mart,New York,George's,"Pasta - Spaghetti, Dry",2020-04-14T18:25:03Z,"€3,79"
Wallmart,New York,George's,Tamarind Paste,2020-04-23T13:02:55Z,"€6,20"
Lidl,Brussels,Laisves,Scallops - U - 10,2020-04-15T02:11:37Z,"€63,05"
Kwiki Mart,New York,Freedom,Burger Veggie,2020-04-02T07:21:06Z,"€57,53"
Ebay,New York,Laisves,Syrup - Chocolate,2020-04-06T02:36:28Z,"€62,93"
Ebay,London,George's,Beef - Ox Tongue,2020-04-18T02:56:24Z,"€4,24"
Playtech,Brussels,Freedom,Chips - Doritos,2020-04-26T21:15:19Z,"€51,05"
Wallmart,New York,Freedom,Bananas,2020-04-12T13:26:07Z,"€7,22"
Wallmart,New York,Laisves,Bread Ww Cluster,2020-04-24T11:42:54Z,"€48,78"
Kwiki Mart,Brussels,Freedom,Mushroom - White Button,2020-04-06T15:33:06Z,"€92,67"
Ebay,Brussels,Freedom,Quinoa,2020-04-22T16:18:42Z,"€63,35"
Aibe,Brussels,Laisves,Cinnamon - Stick,2020-04-01T04:13:00Z,"€59,36"
Playtech,New York,Freedom,Turkey Leg With Drum And Thigh,2020-04-20T02:51:06Z,"€22,12"
Aibe,New York,Laisves,Puree - Mocha,2020-04-09T20:42:29Z,"€54,07"
Aibe,London,George's,Toamtoes 6x7 Select,2020-04-16T19:36:10Z,"€25,40"
Ebay,London,George's,Beer - Camerons Auburn,2020-04-23T21:05:59Z,"€23,08"
Ebay,New York,Freedom,Scallops - In Shell,2020-04-15T08:01:00Z,"€97,21"
Lidl,Brussels,George's,Lettuce - Spring Mix,2020-04-07T21:56:58Z,"€65,08"
Playtech,London,Freedom,Beer - Upper Canada Light,2020-04-10T17:20:07Z,"€99,98"
Aibe,New York,Laisves,Kirsch - Schloss,2020-04-06T09:07:51Z,"€91,23"
Aibe,London,Freedom,"Peas - Pigeon, Dry",2020-04-10T02:32:33Z,"€14,90"
Lidl,New York,Laisves,Sauce - Demi Glace,2020-04-09T18:01:10Z,"€44,85"
Playtech,New York,Laisves,Tea - Green,2020-04-09T14:59:52Z,"€89,06"
Kwiki Mart,New York,Laisves,"Bread - Roll, Whole Wheat",2020-04-26T08:01:46Z,"€60,93"
Aibe,London,Freedom,Wine - Delicato Merlot,2020-04-02T07:21:46Z,"€38,39"
Wallmart,Brussels,Freedom,Waffle Stix,2020-04-18T15:17:44Z,"€56,13"
Kwiki Mart,New York,Freedom,Juice Peach Nectar,2020-04-13T09:58:46Z,"€31,70"
Wallmart,New York,Freedom,Fennel,2020-04-13T03:05:23Z,"€22,68"
Wallmart,New York,George's,Laundry - Bag Cloth,2020-04-17T12:57:45Z,"€75,66"
Ebay,London,Freedom,Hummus - Spread,2020-04-24T16:31:10Z,"€96,39"
Playtech,London,Laisves,Corn Meal,2020-04-05T02:25:03Z,"€21,27"
Aibe,London,Laisves,Spinach - Packaged,2020-04-25T03:24:25Z,"€76,47"
Playtech,Brussels,Freedom,"Chocolate - Pistoles, White",2020-04-03T08:22:32Z,"€8,10"
Ebay,New York,Laisves,Apples - Sliced / Wedge,2020-04-20T06:27:15Z,"€14,50"
Ebay,London,Freedom,Sachet,2020-04-11T13:15:36Z,"€95,80"
Playtech,London,Freedom,Pork - Smoked Back Bacon,2020-04-25T20:49:37Z,"€56,94"
Lidl,London,George's,Island Oasis - Strawberry,2020-04-16T00:47:39Z,"€91,10"
Lidl,London,Laisves,"Wine - Red, Lurton Merlot De",2020-04-13T22:51:04Z,"€95,49"
Wallmart,New York,George's,Lamb - Shoulder,2020-04-05T15:02:30Z,"€20,81"
Ebay,Brussels,Laisves,Longos - Grilled Chicken With,2020-04-14T11:21:01Z,"€70,18"
Wallmart,Brussels,Laisves,Water - San Pellegrino,2020-04-06T22:53:59Z,"€11,16"
Kwiki Mart,Brussels,Laisves,Extract - Raspberry,2020-04-11T19:45:09Z,"€29,64"
Wallmart,London,George's,Sausage - Andouille,2020-04-15T16:00:43Z,"€82,17"
Ebay,Brussels,George's,Pastry - Apple Large,2020-04-10T21:39:39Z,"€65,22"
Aibe,Brussels,Freedom,Rice - Jasmine Sented,2020-04-23T07:56:15Z,"€82,94"
Playtech,New York,Laisves,Creme De Menthe Green,2020-04-13T07:35:30Z,"€12,33"
Lidl,London,Freedom,Bacon Strip Precooked,2020-04-20T13:28:25Z,"€95,40"
Wallmart,Brussels,Freedom,Longos - Chicken Caeser Salad,2020-04-23T18:15:03Z,"€12,75"
Wallmart,New York,George's,Melon - Cantaloupe,2020-04-22T21:35:48Z,"€95,89"
Kwiki Mart,London,George's,Beer - Blue,2020-04-03T20:41:21Z,"€92,27"
Aibe,London,George's,Jam - Apricot,2020-04-23T08:39:48Z,"€81,92"
Lidl,New York,Laisves,"Chocolate - Pistoles, Lactee, Milk",2020-04-26T03:36:48Z,"€62,33"
Kwiki Mart,London,Laisves,"Pork - Bacon, Sliced",2020-04-20T01:24:53Z,"€98,42"
Lidl,New York,Freedom,"Rum - Light, Captain Morgan",2020-04-23T22:14:55Z,"€36,26"
Ebay,London,George's,Cheese - Fontina,2020-04-14T06:13:11Z,"€82,39"
Ebay,London,Laisves,Sour Puss Raspberry,2020-04-28T17:59:40Z,"€18,86"
Playtech,London,Laisves,"Cherries - Maraschino,jar",2020-04-04T23:09:30Z,"€28,67"
Lidl,New York,Laisves,Table Cloth 62x120 Colour,2020-04-07T15:12:40Z,"€9,75"
Aibe,New York,Laisves,Compound - Strawberry,2020-04-28T14:05:15Z,"€13,95"
Wallmart,Brussels,Laisves,Sambuca - Ramazzotti,2020-04-27T01:47:25Z,"€74,83"
Kwiki Mart,Brussels,Freedom,Cheese - Provolone,2020-04-04T17:20:53Z,"€25,28"
Aibe,New York,Freedom,Wine - Fat Bastard Merlot,2020-04-17T12:26:57Z,"€76,02"
Playtech,Brussels,Freedom,Everfresh Products,2020-04-16T06:56:43Z,"€24,23"
Playtech,Brussels,Freedom,Avocado,2020-04-17T18:07:13Z,"€45,75"
Ebay,New York,Laisves,Energy Drink Red Bull,2020-04-09T14:02:59Z,"€44,14"
Playtech,New York,George's,Blackberries,2020-04-24T17:39:16Z,"€2,28"
Kwiki Mart,New York,George's,Bread - 10 Grain,2020-04-02T17:34:21Z,"€46,94"
Ebay,Brussels,Laisves,Temperature Recording Station,2020-04-27T01:23:01Z,"€64,27"
Ebay,London,George's,Cake - Mini Cheesecake,2020-04-22T05:45:05Z,"€89,24"
Aibe,London,Freedom,Icecream - Dstk Strw Chseck,2020-04-04T05:18:48Z,"€98,18"
Kwiki Mart,New York,Laisves,Lettuce - Sea / Sea Asparagus,2020-04-24T05:09:11Z,"€88,61"
Wallmart,London,Laisves,Bread Ww Cluster,2020-04-09T22:35:17Z,"€56,09"
Playtech,Brussels,Freedom,French Pastries,2020-04-18T18:07:31Z,"€42,62"
Lidl,New York,George's,Chinese Lemon Pork,2020-04-17T22:56:53Z,"€70,71"
Aibe,London,Laisves,Flounder - Fresh,2020-04-14T08:54:58Z,"€88,32"
Ebay,Brussels,Freedom,"Mushroom - Porcini, Dry",2020-04-04T00:52:40Z,"€91,26"
Playtech,London,George's,Tea - Black Currant,2020-04-20T02:26:43Z,"€59,62"
Lidl,London,George's,Chicken Breast Wing On,2020-04-22T15:14:24Z,"€37,18"
Ebay,Brussels,Freedom,Cinnamon Rolls,2020-04-14T12:46:04Z,"€1,10"
Ebay,Brussels,Freedom,"Juice - Orange, 341 Ml",2020-04-26T19:12:42Z,"€95,52"
Aibe,Brussels,Laisves,Garbage Bags - Clear,2020-04-18T05:06:27Z,"€9,75"
Lidl,New York,Laisves,Chocolate - Chips Compound,2020-04-05T22:57:08Z,"€43,57"
Kwiki Mart,Brussels,George's,"Turkey - Breast, Double",2020-04-14T05:47:10Z,"€91,90"
Aibe,London,Freedom,Dish Towel,2020-04-16T17:09:02Z,"€57,39"
Playtech,London,Laisves,Tea - Mint,2020-04-11T07:00:03Z,"€43,77"
Playtech,Brussels,Freedom,Milk - Chocolate 250 Ml,2020-04-04T03:58:53Z,"€80,23"
Lidl,London,George's,Mushroom - Portebello,2020-04-17T06:11:50Z,"€87,95"
Lidl,London,George's,Lamb Leg - Bone - In Nz,2020-04-27T08:24:43Z,"€82,60"
Lidl,Brussels,Laisves,Chocolate - Feathers,2020-04-06T19:13:17Z,"€21,52"
Aibe,New York,George's,Beer - True North Lager,2020-04-24T00:59:47Z,"€3,54"
Aibe,New York,Freedom,Chocolate - Dark,2020-04-07T12:55:44Z,"€73,10"
Aibe,Brussels,Freedom,"Wine - Red, Gallo, Merlot",2020-04-01T18:55:34Z,"€12,89"
Playtech,London,Freedom,Shiratamako - Rice Flour,2020-04-09T12:29:00Z,"€40,60"
Kwiki Mart,New York,George's,Onions - Red,2020-04-12T13:55:10Z,"€74,00"
Aibe,Brussels,Freedom,Sour Puss - Tangerine,2020-04-15T16:28:27Z,"€74,28"
Lidl,London,George's,Table Cloth 81x81 Colour,2020-04-10T12:01:24Z,"€15,50"
Playtech,London,Laisves,Juice - Mango,2020-04-25T15:05:36Z,"€55,51"
Playtech,Brussels,George's,Table Cloth 54x54 White,2020-04-06T18:29:50Z,"€26,54"
Lidl,London,Laisves,Water - Spring Water 500ml,2020-04-07T22:01:51Z,"€8,02"
Ebay,London,Laisves,Chicken - White Meat With Tender,2020-04-21T21:23:57Z,"€87,13"
Lidl,New York,Laisves,"Coffee - Beans, Whole",2020-04-24T00:08:58Z,"€43,33"
Wallmart,Brussels,George's,Oats Large Flake,2020-04-14T04:32:06Z,"€26,01"
Aibe,London,Laisves,Appetizer - Mango Chevre,2020-04-15T04:10:29Z,"€29,22"
Lidl,London,Laisves,Beef - Tenderloin Tails,2020-04-04T20:59:51Z,"€12,78"
Wallmart,London,Freedom,Creme De Cacao White,2020-04-23T08:10:56Z,"€52,61"
Aibe,Brussels,Freedom,Chocolate - Feathers,2020-04-11T10:06:55Z,"€96,01"
Playtech,Brussels,Laisves,Coffee - Almond Amaretto,2020-04-29T08:17:20Z,"€93,97"
Wallmart,New York,Laisves,Chocolate Bar - Reese Pieces,2020-04-18T21:30:53Z,"€81,41"
Lidl,New York,Laisves,"Sauce - Black Current, Dry Mix",2020-04-12T03:22:17Z,"€20,21"
Aibe,New York,George's,Vacuum Bags 12x16,2020-04-16T18:41:16Z,"€48,21"
Wallmart,New York,George's,Chips Potato Reg 43g,2020-04-25T08:55:51Z,"€84,01"
Aibe,London,Laisves,Pail With Metal Handle 16l White,2020-04-12T14:02:49Z,"€44,84"
Kwiki Mart,London,Freedom,Icecream - Dstk Super Cone,2020-04-27T18:50:15Z,"€21,37"
Ebay,London,Laisves,Sprouts - Corn,2020-04-06T23:16:39Z,"€9,35"
Lidl,New York,Freedom,Filo Dough,2020-04-05T09:59:38Z,"€96,50"
Lidl,London,George's,Milk - 2% 250 Ml,2020-04-09T10:14:25Z,"€68,01"
Playtech,London,Laisves,Seaweed Green Sheets,2020-04-07T20:08:00Z,"€14,56"
Playtech,New York,George's,Wine - Cotes Du Rhone Parallele,2020-04-28T23:07:35Z,"€16,56"
Kwiki Mart,London,Freedom,Chocolate - Liqueur Cups With Foil,2020-04-14T18:09:07Z,"€99,82"
Aibe,New York,Freedom,Tarts Assorted,2020-04-24T01:27:27Z,"€68,64"
Ebay,New York,Laisves,Coffee - Dark Roast,2020-04-29T08:02:08Z,"€70,32"
Kwiki Mart,London,Laisves,Emulsifier,2020-04-29T20:35:16Z,"€80,53"
Wallmart,Brussels,Freedom,Sauce - Ranch Dressing,2020-04-12T20:21:23Z,"€41,45"
Kwiki Mart,London,Laisves,Wine - Winzer Krems Gruner,2020-04-19T20:21:49Z,"€35,78"
Aibe,New York,Freedom,Cup - Translucent 7 Oz Clear,2020-04-21T02:36:12Z,"€77,37"
Aibe,New York,Freedom,Pork Loin Bine - In Frenched,2020-04-18T04:00:51Z,"€90,44"
Playtech,Brussels,Freedom,"Shrimp - Baby, Cold Water",2020-04-26T01:30:45Z,"€7,58"
Playtech,New York,Freedom,"Wine - White, Pelee Island",2020-04-15T15:20:10Z,"€78,81"
Playtech,London,Freedom,Wine - Hardys Bankside Shiraz,2020-04-27T07:26:21Z,"€6,02"
Ebay,Brussels,Freedom,Cheese - Goat,2020-04-05T15:45:20Z,"€43,06"
Wallmart,Brussels,Laisves,Quail - Jumbo,2020-04-09T20:26:26Z,"€80,41"
Lidl,London,Freedom,Whmis Spray Bottle Graduated,2020-04-02T22:54:21Z,"€47,12"
Lidl,New York,Freedom,Tea - Green,2020-04-01T06:33:44Z,"€40,06"
Kwiki Mart,New York,George's,Beets,2020-04-12T08:43:35Z,"€90,46"
Aibe,New York,Freedom,Roe - Flying Fish,2020-04-17T08:33:54Z,"€88,36"
Lidl,Brussels,Laisves,Shrimp - Black Tiger 8 - 12,2020-04-17T02:11:15Z,"€87,61"
Playtech,Brussels,Laisves,Muffin - Zero Transfat,2020-04-26T17:26:00Z,"€28,59"
Playtech,New York,Freedom,Neckerchief Blck,2020-04-27T01:21:18Z,"€14,09"
Playtech,London,Laisves,Beer - Sleemans Honey Brown,2020-04-20T16:22:07Z,"€20,51"
Kwiki Mart,London,Laisves,Raspberries - Fresh,2020-04-21T07:17:58Z,"€0,81"
Lidl,Brussels,George's,Broom Handle,2020-04-13T11:42:20Z,"€91,25"
Lidl,London,Freedom,Buffalo - Striploin,2020-04-20T07:41:52Z,"€73,87"
Aibe,London,Freedom,"Soup - Campbells, Creamy",2020-04-20T10:58:27Z,"€72,97"
Playtech,London,George's,Cheese - Wine,2020-04-09T02:02:27Z,"€27,78"
Wallmart,Brussels,Freedom,Soup - Campbells Chili Veg,2020-04-09T16:34:42Z,"€74,37"
Kwiki Mart,New York,George's,Nantucket Pine Orangebanana,2020-04-11T22:51:21Z,"€93,61"
Kwiki Mart,New York,Freedom,"Beans - Black Bean, Dry",2020-04-21T22:01:23Z,"€61,22"
Wallmart,London,George's,Wine - Fontanafredda Barolo,2020-04-08T19:06:23Z,"€26,00"
Playtech,New York,George's,Pepper - Gypsy Pepper,2020-04-13T01:58:47Z,"€46,33"
Playtech,New York,George's,Table Cloth 62x120 White,2020-04-24T03:59:25Z,"€7,70"
Ebay,New York,George's,Pork - Bacon Cooked Slcd,2020-04-23T03:59:26Z,"€62,10"
Kwiki Mart,Brussels,Freedom,Beans - Fine,2020-04-24T00:46:51Z,"€74,57"
Wallmart,Brussels,Freedom,Beef - Sushi Flat Iron Steak,2020-04-16T19:27:53Z,"€25,85"
Aibe,London,Freedom,Oil - Margarine,2020-04-10T08:46:36Z,"€94,16"
Playtech,Brussels,Laisves,Tea - Honey Green Tea,2020-04-27T04:46:07Z,"€59,30"
Aibe,London,Freedom,Soupcontfoam16oz 116con,2020-04-22T06:09:00Z,"€42,66"
Aibe,Brussels,George's,Onion Powder,2020-04-08T11:39:59Z,"€28,22"
Ebay,Brussels,George's,"Basil - Dry, Rubbed",2020-04-12T08:41:20Z,"€40,76"
Lidl,London,George's,"Fish - Base, Bouillion",2020-04-09T22:10:26Z,"€85,98"
Playtech,New York,Laisves,Sea Bass - Fillets,2020-04-14T19:36:38Z,"€41,30"
Aibe,Brussels,Laisves,Extract - Lemon,2020-04-27T09:27:12Z,"€45,02"
Lidl,Brussels,Laisves,"Coconut - Creamed, Pure",2020-04-26T10:30:27Z,"€8,64"
Kwiki Mart,New York,Laisves,Baking Powder,2020-04-01T20:08:27Z,"€63,63"
Kwiki Mart,Brussels,Laisves,Bar Mix - Lime,2020-04-20T21:28:47Z,"€47,02"
Ebay,Brussels,Freedom,Flour - Teff,2020-04-01T00:19:45Z,"€40,69"
Wallmart,London,Laisves,Pastry - Banana Muffin - Mini,2020-04-06T12:10:12Z,"€57,90"
Playtech,London,George's,Fennel - Seeds,2020-04-12T13:48:46Z,"€91,78"
Ebay,Brussels,George's,"Yogurt - Peach, 175 Gr",2020-04-13T17:56:18Z,"€5,65"
Aibe,New York,Freedom,Rabbit - Whole,2020-04-02T00:02:00Z,"€42,33"
Wallmart,New York,Laisves,"Stock - Veal, Brown",2020-04-16T02:15:29Z,"€98,45"
Wallmart,Brussels,Freedom,Bok Choy - Baby,2020-04-21T08:32:33Z,"€24,06"
Wallmart,New York,George's,Blue Curacao - Marie Brizard,2020-04-01T15:57:13Z,"€35,19"
Playtech,New York,Laisves,Chocolate Eclairs,2020-04-29T10:53:14Z,"€53,18"
Ebay,New York,Laisves,Sugar - White Packet,2020-04-15T22:24:36Z,"€18,14"
Playtech,London,Freedom,Flour Pastry Super Fine,2020-04-10T11:50:26Z,"€6,32"
Kwiki Mart,New York,Laisves,"Soup - Canadian Pea, Dry Mix",2020-04-24T01:26:00Z,"€56,42"
Aibe,New York,George's,"Bread - Roll, Canadian Dinner",2020-04-10T21:57:38Z,"€88,49"
Lidl,New York,Laisves,Sprouts - Pea,2020-04-21T21:03:57Z,"€96,05"
Ebay,Brussels,Freedom,Chick Peas - Canned,2020-04-02T03:04:59Z,"€51,24"
Ebay,London,George's,"Mushrooms - Black, Dried",2020-04-07T14:14:13Z,"€10,64"
Ebay,New York,Laisves,Rappini - Andy Boy,2020-04-10T13:14:16Z,"€78,21"
Aibe,London,George's,Mushroom - Crimini,2020-04-19T00:59:19Z,"€58,30"
Lidl,London,George's,Wine - Casillero Del Diablo,2020-04-17T00:00:50Z,"€38,18"
Aibe,New York,Laisves,Tea - Camomele,2020-04-13T16:52:08Z,"€37,39"
Ebay,New York,Freedom,Blue Curacao - Marie Brizard,2020-04-06T16:23:02Z,"€32,89"
Ebay,London,Laisves,Appetizer - Veg Assortment,2020-04-29T04:56:48Z,"€25,84"
Lidl,New York,George's,Truffle Cups - Brown,2020-04-03T12:21:47Z,"€72,24"
Playtech,London,Laisves,Lid Coffeecup 12oz D9542b,2020-04-07T14:53:36Z,"€58,11"
